highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,107,1371.0,1383.0,4213.0,4225.0,12.0,0.8436,3,audio_mel_ncc,22:51,23:03,1:10:13,1:10:25
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,108,1422.0,1434.0,16240.0,16252.0,12.0,0.7499,3,audio_mel_ncc,23:42,23:54,4:30:40,4:30:52
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,109,1432.0,1445.0,6540.0,6553.0,13.0,0.7383,4,audio_mel_ncc,23:52,24:05,1:49:00,1:49:13
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,110,1442.0,1455.0,16243.0,16256.0,13.0,0.6583,4,audio_mel_ncc,24:02,24:15,4:30:43,4:30:56
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,111,1457.0,1471.0,6690.0,6704.0,14.0,0.7205,5,audio_mel_ncc,24:17,24:31,1:51:30,1:51:44
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,112,1480.0,1492.0,3663.0,3675.0,12.0,0.6953,3,audio_mel_ncc,24:40,24:52,1:01:03,1:01:15
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,113,1483.0,1500.0,16025.0,16042.0,17.0,0.7059,8,audio_mel_ncc,24:43,25:00,4:27:05,4:27:22
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,114,1492.0,1512.0,17041.0,17061.0,20.0,0.762,11,audio_mel_ncc,24:52,25:12,4:44:01,4:44:21
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,115,1503.0,1515.0,3853.0,3865.0,12.0,0.5625,3,audio_mel_ncc,25:03,25:15,1:04:13,1:04:25
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,116,1515.0,1529.0,3547.0,3561.0,14.0,0.7942,5,audio_mel_ncc,25:15,25:29,59:07,59:21
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,117,1554.0,1567.0,5122.0,5135.0,13.0,0.7661,4,audio_mel_ncc,25:54,26:07,1:25:22,1:25:35
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,118,1558.0,1570.0,3599.0,3611.0,12.0,0.8051,3,audio_mel_ncc,25:58,26:10,59:59,1:00:11
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,1,11.0,23.0,115.0,127.0,12.0,0.7229,3,audio_mel_ncc,0:11,0:23,1:55,2:07
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,2,16.0,28.0,3605.0,3617.0,12.0,0.678,3,audio_mel_ncc,0:16,0:28,1:00:05,1:00:17
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,3,21.0,38.0,1239.0,1256.0,17.0,0.6743,8,audio_mel_ncc,0:21,0:38,20:39,20:56
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,4,30.0,42.0,5371.0,5383.0,12.0,0.7531,3,audio_mel_ncc,0:30,0:42,1:29:31,1:29:43
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,5,37.0,50.0,4439.0,4452.0,13.0,0.7644,4,audio_mel_ncc,0:37,0:50,1:13:59,1:14:12
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,6,48.0,61.0,2498.0,2511.0,13.0,0.7129,4,audio_mel_ncc,0:48,1:01,41:38,41:51
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,7,57.0,71.0,6837.0,6851.0,14.0,0.6828,5,audio_mel_ncc,0:57,1:11,1:53:57,1:54:11
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,8,64.0,76.0,7448.0,7460.0,12.0,0.74,3,audio_mel_ncc,1:04,1:16,2:04:08,2:04:20
Nimi Opened a New Store and She Couldn’t Stop Yapping [sCKzzi9HkNg].mkv,9,83.0,96.0,1839.0,1852.0,13.0,0.7807,4,audio_mel_ncc,1:23,1:36,30:39,30:52
